"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1,C2,C7,C8,C10,C11,C12,C13","100n","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B472KDCNNNC/3888183,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874","8",""
"R27,R32,R33","60","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6AEB60R4V/2025554,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-P06J100V/525195","3",""
"U1,U4,U6","~","Package_DIP:DIP-8_W7.62mm_Socket,Package_SIP:SIP-8_19x3mm_P2.54mm","https://www.digikey.com/en/products/detail/mean-well-usa-inc/SPAN02A-12/7706967?s=N4IgTCBcDaIM4AcCGA7ADGJBaAjBAugL5A,https://www.digikey.com/en/products/detail/texas-instruments/LM331N-NOPB/6213","3",""
"U10","LM2904B","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm358.pdf","1",""
"U9","LM1117T-5.0","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm1117.pdf","1",""
"U8","SN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","1",""
"D2","RF01VM2S","Diode_SMD:D_SOD-323","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/fast_recovery/rf01vm2s.pdf","1",""
"R28,R29","500","precharge res:Ohmite HS100 500R F","https://www.digikey.ca/en/products/detail/ohmite/HS100-500R-F/21846379","2",""
"U5","DMN63D8L-7","nmos:SOIC_63D8L-7_DIO","https://www.digikey.com/en/products/detail/diodes-incorporated/DMN63D8L-7/5699705?s=N4IgTCBcDaICIFkByA2AzHAHAGQLQHYQBdAXyA","1",""
"J4","Conn_02x14_Counter_Clockwise","Package_DIP:DIP-28_W15.24mm_Socket","https://www.digikey.com/en/products/detail/mill-max-manufacturing-corp/110-44-628-41-001000/947065","1",""
"J3,J8","Conn_01x02_Socket","Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical","https://www.digikey.com/en/products/detail/molex/1724470002/5116902","2",""
"J2,J6,J7","Conn_01x04_Socket","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical","https://www.digikey.com/en/products/detail/molex/1724470004/5116903","3",""
"R7,R8,R17,R19","100K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ104V/83110","4",""
"R11,R15","12K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ123V/83066","2",""
"R12,R13","1.5K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ152V/83022","2",""
"R6,R20","39K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ393V/83090","2",""
"R1,R2,R3,R4,R5,R21,R22,R23,R24,R25","510K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ514V/83144","10",""
"R14,R26","560","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ561V/89768","2",""
"R9,R18","6.8K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ682V/83053","2",""
"R30,R31","10","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-P06J100V/525195","2",""
"C3,C6","10n","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673","2",""
"C4,C5,C9","1u","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687","3",""
"U7","Teensy4.0","Package_DIP:DIP-28_W15.24mm_Socket","https://www.digikey.com/en/products/detail/sparkfun-electronics/DEV-15583/10384551","1",""
"R10,R16","47","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805JT47K0/1757842","2",""
"K3","PCN-112D3MHZ_000","PCN_112D3HMZ:RELAY_PCN-105D3MHZ_000_TEC","https://www.digikey.com/en/products/detail/te-connectivity-potter-brumfield-relays/PCN-112D3MHZ-000/1128732?s=N4IgTCBcDaIAoGEByBaAjGsARAzAWQAkAtAfQAYKQBdAXyA","1",""
"U2,U3","4N35","Package_DIP:DIP-6_W7.62mm_Socket","https://www.vishay.com/docs/81181/4n35.pdf","2",""
"D1","D","Diode_THT:D_5KPW_P7.62mm_Vertical_AnodeUp","~","1",""
"K4","Relay_SPDT","Relay_THT:Precharge_Discharge_Relay","~","1",""
